DATE,OPEN,ROI
860104,59.00,-2.50
860106,59.00,0.85
860107,59.00,0.00
860108,59.00,1.69
860109,60.00,-1.67
860110,59.00,0.85
860111,59.50,0.00
860113,59.50,0.84
860114,60.50,-0.83
860115,59.50,0.00
860116,59.50,0.84
860117,60.00,0.00
860118,60.00,-0.83
860120,59.50,2.52
860121,61.00,-1.64
860122,60.50,2.50
860123,63.00,0.81
860124,62.50,-2.42
860125,60.50,-0.83
860127,60.00,-0.83
860128,59.50,0.00
860129,59.50,-0.84
860130,59.50,0.85
860131,60.00,0.84
860201,60.00,0.83
860203,61.00,0.83
860211,61.00,-0.82
860212,60.00,-1.65
860213,59.50,0.00
860214,60.00,0.00
860215,60.00,0.84
860217,60.00,0.83
860218,60.00,-0.83
860219,60.50,0.83
860220,60.00,0.00
860221,60.50,0.83
860222,61.50,0.00
860224,61.50,1.64
860225,62.00,-0.81
860226,61.50,-1.63
860227,61.00,0.00
860228,61.00,1.65
860301,62.00,0.81
860303,62.00,0.00
860304,62.50,0.81
860305,63.00,1.60
860306,64.50,0.00
860307,63.50,0.00
860308,64.00,-0.79
860310,63.00,0.00
860311,63.00,0.00
860312,63.00,0.79
860313,63.50,0.00
860314,64.00,0.00
860315,63.50,-0.79
860317,63.50,0.00
860318,63.00,0.79
860319,64.00,-0.79
860320,63.00,-0.79
860321,62.50,0.00
860322,62.50,-0.80
860324,62.00,-2.42
860325,60.50,-3.31
860326,58.50,2.56
860327,60.00,-1.67
860328,59.00,0.85
860331,59.50,0.00
860401,59.00,-0.84
860402,59.00,0.00
